ts_code,symbol,name,area,industry,list_date
600519.SH,600519,贵州茅台,贵州,白酒,20010827
300750.SZ,300750,宁德时代,福建,电气设备,20180611
601318.SH,601318,中国平安,深圳,保险,20070301
600036.SH,600036,招商银行,深圳,银行,20020409
300059.SZ,300059,东方财富,上海,证券,20100319
000333.SZ,000333,美的集团,广东,家用电器,20130918
600900.SH,600900,长江电力,北京,水力发电,20031118
600030.SH,600030,中信证券,深圳,证券,20030106
000858.SZ,000858,五粮液,四川,白酒,19980427
601166.SH,601166,兴业银行,福建,银行,20070205
601899.SH,601899,紫金矿业,福建,铜,20080425
002594.SZ,002594,比亚迪,深圳,汽车整车,20110630
600276.SH,600276,恒瑞医药,江苏,化学制药,20001018
601398.SH,601398,工商银行,北京,银行,20061027
002475.SZ,002475,立讯精密,深圳,元器件,20100915
601328.SH,601328,交通银行,上海,银行,20070515
000651.SZ,000651,格力电器,广东,家用电器,19961118
600887.SH,600887,伊利股份,内蒙,乳制品,19960312
688981.SH,688981,中芯国际,上海,半导体,20200716
000725.SZ,000725,京东方A,北京,元器件,20010112
300760.SZ,300760,迈瑞医疗,深圳,医疗保健,20181016
601288.SH,601288,农业银行,北京,银行,20100715
601816.SH,601816,京沪高铁,北京,铁路,20200116
600309.SH,600309,万华化学,山东,化工原料,20010105
002371.SZ,002371,北方华创,北京,半导体,20100316
601088.SH,601088,中国神华,北京,煤炭开采,20071009
603259.SH,603259,药明康德,江苏,化学制药,20180508
600919.SH,600919,江苏银行,江苏,银行,20160802
601668.SH,601668,中国建筑,北京,建筑工程,20090729
603019.SH,603019,中科曙光,天津,IT设备,20141106
300274.SZ,300274,阳光电源,安徽,电气设备,20111102
300308.SZ,300308,中际旭创,山东,通信设备,20120410
601601.SH,601601,中国太保,上海,保险,20071225
300124.SZ,300124,汇川技术,深圳,电器仪表,20100928
688041.SH,688041,海光信息,天津,半导体,20220812
688256.SH,688256,寒武纪-U,北京,半导体,20200720
002415.SZ,002415,海康威视,浙江,IT设备,20100528
002714.SZ,002714,牧原股份,河南,农业综合,20140128
601012.SH,601012,隆基绿能,陕西,电气设备,20120411
600000.SH,600000,浦发银行,上海,银行,19991110
600837.SH,600837,海通证券,上海,证券,19940224
000001.SZ,000001,平安银行,深圳,银行,19910403
600690.SH,600690,海尔智家,山东,家用电器,19931119
601988.SH,601988,中国银行,北京,银行,20060705
600031.SH,600031,三一重工,北京,工程机械,20030703
000568.SZ,000568,泸州老窖,四川,白酒,19940509
002352.SZ,002352,顺丰控股,深圳,仓储物流,20100205
601728.SH,601728,中国电信,北京,电信运营,20210820
000063.SZ,000063,中兴通讯,深圳,通信设备,19971118
601766.SH,601766,中国中车,北京,运输设备,20080818
600406.SH,600406,国电南瑞,江苏,电气设备,20031016
600809.SH,600809,山西汾酒,山西,白酒,19940106
600050.SH,600050,中国联通,北京,电信运营,20021009
000792.SZ,000792,盐湖股份,青海,农药化肥,19970904
688012.SH,688012,中微公司,上海,半导体,20190722
600941.SH,600941,中国移动,北京,电信运营,20220105
002230.SZ,002230,科大讯飞,安徽,软件服务,20080512
601688.SH,601688,华泰证券,江苏,证券,20100226
300498.SZ,300498,温氏股份,广东,农业综合,20151102
600028.SH,600028,中国石化,北京,石油加工,20010808
601225.SH,601225,陕西煤业,陕西,煤炭开采,20140128
601857.SH,601857,中国石油,北京,石油开采,20071105
600660.SH,600660,福耀玻璃,福建,汽车配件,19930610
601985.SH,601985,中国核电,北京,新型电力,20150610
601138.SH,601138,工业富联,深圳,通信设备,20180608
601919.SH,601919,中远海控,天津,水运,20070626
000100.SZ,000100,TCL科技,广东,元器件,20040130
600104.SH,600104,上汽集团,上海,汽车整车,19971125
601211.SH,601211,国泰君安,上海,证券,20150626
603501.SH,603501,韦尔股份,上海,半导体,20170504
600016.SH,600016,民生银行,北京,银行,20001219
601169.SH,601169,北京银行,北京,银行,20070919
600150.SH,600150,中国船舶,上海,船舶,19980520
002142.SZ,002142,宁波银行,浙江,银行,20070719
601229.SH,601229,上海银行,上海,银行,20161116
603288.SH,603288,海天味业,广东,食品,20140211
600438.SH,600438,通威股份,四川,电气设备,20040302
000338.SZ,000338,潍柴动力,山东,汽车配件,20070430
600048.SH,600048,保利发展,广东,全国地产,20060731
600999.SH,600999,招商证券,深圳,证券,20091117
601888.SH,601888,中国中免,北京,旅游服务,20091015
601628.SH,601628,中国人寿,北京,保险,20070109
000625.SZ,000625,长安汽车,重庆,汽车整车,19970610
002027.SZ,002027,分众传媒,广东,广告包装,20040804
300033.SZ,300033,同花顺,浙江,软件服务,20091225
600436.SH,600436,片仔癀,福建,中成药,20030616
300015.SZ,300015,爱尔眼科,湖南,医疗保健,20091030
688111.SH,688111,金山办公,北京,软件服务,20191118
600089.SH,600089,特变电工,新疆,电气设备,19970618
601390.SH,601390,中国中铁,北京,建筑工程,20071203
601818.SH,601818,光大银行,北京,银行,20100818
600905.SH,600905,三峡能源,北京,新型电力,20210610
688008.SH,688008,澜起科技,上海,半导体,20190722
002241.SZ,002241,歌尔股份,山东,元器件,20080522
600585.SH,600585,海螺水泥,安徽,水泥,20020207
300014.SZ,300014,亿纬锂能,广东,电气设备,20091030
601600.SH,601600,中国铝业,北京,铝,20070430
600019.SH,600019,宝钢股份,上海,普钢,20001212
601006.SH,601006,大秦铁路,山西,铁路,20060801
601658.SH,601658,邮储银行,北京,银行,20191210
600111.SH,600111,北方稀土,内蒙,小金属,19970924
000002.SZ,000002,万科A,深圳,全国地产,19910129
000425.SZ,000425,徐工机械,江苏,工程机械,19960828
000938.SZ,000938,紫光股份,北京,IT设备,19991104
600584.SH,600584,长电科技,江苏,半导体,20030603
600958.SH,600958,东方证券,上海,证券,20150323
603986.SH,603986,兆易创新,北京,半导体,20160818
601989.SH,601989,中国重工,北京,船舶,20091216
600893.SH,600893,航发动力,陕西,航空,19960408
600938.SH,600938,中国海油,北京,石油开采,20220421
600760.SH,600760,中航沈飞,山东,航空,19961011
002050.SZ,002050,三花智控,浙江,家用电器,20050607
601009.SH,601009,南京银行,江苏,银行,20070719
601939.SH,601939,建设银行,北京,银行,20070925
603993.SH,603993,洛阳钼业,河南,小金属,20121009
002304.SZ,002304,洋河股份,江苏,白酒,20091106
002179.SZ,002179,中航光电,河南,元器件,20071101
000538.SZ,000538,云南白药,云南,中成药,19931215
600926.SH,600926,杭州银行,浙江,银行,20161027
000977.SZ,000977,浪潮信息,山东,IT设备,20000608
300408.SZ,300408,三环集团,广东,元器件,20141203
000776.SZ,000776,广发证券,广东,证券,19970611
000166.SZ,000166,申万宏源,新疆,证券,20150126
601669.SH,601669,中国电建,北京,建筑工程,20111018
002460.SZ,002460,赣锋锂业,江西,小金属,20100810
601360.SH,601360,三六零,天津,互联网,20120116
600570.SH,600570,恒生电子,浙江,软件服务,20031216
600015.SH,600015,华夏银行,北京,银行,20030912
688271.SH,688271,联影医疗,上海,医疗保健,20220822
600886.SH,600886,国投电力,北京,水力发电,19960118
002049.SZ,002049,紫光国微,河北,半导体,20050606
600010.SH,600010,包钢股份,内蒙,普钢,20010309
601377.SH,601377,兴业证券,福建,证券,20101013
603799.SH,603799,华友钴业,浙江,小金属,20150129
600009.SH,600009,上海机场,上海,机场,19980218
600547.SH,600547,山东黄金,山东,黄金,20030828
601916.SH,601916,浙商银行,浙江,银行,20191126
001979.SZ,001979,招商蛇口,深圳,全国地产,20151230
601186.SH,601186,中国铁建,北京,建筑工程,20080310
300433.SZ,300433,蓝思科技,湖南,元器件,20150318
688036.SH,688036,传音控股,深圳,通信设备,20190930
601901.SH,601901,方正证券,湖南,证券,20110810
600795.SH,600795,国电电力,辽宁,火力发电,19970318
300418.SZ,300418,昆仑万维,北京,互联网,20150121
002001.SZ,002001,新和成,浙江,化学制药,20040625
601336.SH,601336,新华保险,北京,保险,20111216
002252.SZ,002252,上海莱士,上海,生物制药,20080623
002466.SZ,002466,天齐锂业,四川,小金属,20100831
600415.SH,600415,小商品城,浙江,商品城,20020509
601788.SH,601788,光大证券,上海,证券,20090818
002311.SZ,002311,海大集团,广东,饲料,20091127
601800.SH,601800,中国交建,北京,建筑工程,20120309
