index_code,con_code,trade_date,weight
399300.SZ,600519.SH,20241202,4.7276
399300.SZ,300750.SZ,20241202,3.4156
399300.SZ,601318.SH,20241202,2.8691
399300.SZ,600036.SH,20241202,2.2304
399300.SZ,300059.SZ,20241202,1.7116
399300.SZ,000333.SZ,20241202,1.6889
399300.SZ,600900.SH,20241202,1.6672
399300.SZ,600030.SH,20241202,1.5064
399300.SZ,000858.SZ,20241202,1.412
399300.SZ,601166.SH,20241202,1.3056
399300.SZ,601899.SH,20241202,1.265
399300.SZ,002594.SZ,20241202,1.2623
399300.SZ,600276.SH,20241202,1.1119
399300.SZ,601398.SH,20241202,1.0604
399300.SZ,002475.SZ,20241202,1.0059
399300.SZ,601328.SH,20241202,0.9818
399300.SZ,000651.SZ,20241202,0.9348
399300.SZ,600887.SH,20241202,0.9056
399300.SZ,688981.SH,20241202,0.8717
399300.SZ,000725.SZ,20241202,0.788
399300.SZ,300760.SZ,20241202,0.7876
399300.SZ,601288.SH,20241202,0.7595
399300.SZ,601816.SH,20241202,0.7308
399300.SZ,600309.SH,20241202,0.701
399300.SZ,002371.SZ,20241202,0.6627
399300.SZ,601088.SH,20241202,0.6448
399300.SZ,603259.SH,20241202,0.6383
399300.SZ,600919.SH,20241202,0.6348
399300.SZ,601668.SH,20241202,0.6193
399300.SZ,603019.SH,20241202,0.6054
399300.SZ,300274.SZ,20241202,0.5861
399300.SZ,300308.SZ,20241202,0.5845
399300.SZ,601601.SH,20241202,0.5845
399300.SZ,300124.SZ,20241202,0.5827
399300.SZ,688041.SH,20241202,0.5823
399300.SZ,688256.SH,20241202,0.5778
399300.SZ,002415.SZ,20241202,0.5569
399300.SZ,002714.SZ,20241202,0.5525
399300.SZ,601012.SH,20241202,0.5515
399300.SZ,600000.SH,20241202,0.5499
399300.SZ,600837.SH,20241202,0.5485
399300.SZ,000001.SZ,20241202,0.5455
399300.SZ,600690.SH,20241202,0.5352
399300.SZ,601988.SH,20241202,0.5212
399300.SZ,600031.SH,20241202,0.5084
399300.SZ,000568.SZ,20241202,0.505
399300.SZ,002352.SZ,20241202,0.4976
399300.SZ,601728.SH,20241202,0.4973
399300.SZ,000063.SZ,20241202,0.4971
399300.SZ,601766.SH,20241202,0.4899
399300.SZ,600406.SH,20241202,0.4885
399300.SZ,600809.SH,20241202,0.4852
399300.SZ,600050.SH,20241202,0.485
399300.SZ,000792.SZ,20241202,0.4781
399300.SZ,688012.SH,20241202,0.4713
399300.SZ,600941.SH,20241202,0.47
399300.SZ,002230.SZ,20241202,0.4669
399300.SZ,601688.SH,20241202,0.4589
399300.SZ,300498.SZ,20241202,0.4576
399300.SZ,600028.SH,20241202,0.4548
399300.SZ,601225.SH,20241202,0.4502
399300.SZ,601857.SH,20241202,0.4487
399300.SZ,600660.SH,20241202,0.4481
399300.SZ,601985.SH,20241202,0.4427
399300.SZ,601138.SH,20241202,0.4424
399300.SZ,601919.SH,20241202,0.4377
399300.SZ,000100.SZ,20241202,0.4375
399300.SZ,600104.SH,20241202,0.4342
399300.SZ,601211.SH,20241202,0.426
399300.SZ,603501.SH,20241202,0.4242
399300.SZ,600016.SH,20241202,0.418
399300.SZ,601169.SH,20241202,0.4113
399300.SZ,600150.SH,20241202,0.4
399300.SZ,002142.SZ,20241202,0.3994
399300.SZ,601229.SH,20241202,0.3981
399300.SZ,603288.SH,20241202,0.3874
399300.SZ,600438.SH,20241202,0.3672
399300.SZ,000338.SZ,20241202,0.3651
399300.SZ,600048.SH,20241202,0.363
399300.SZ,600999.SH,20241202,0.3544
399300.SZ,601888.SH,20241202,0.3499
399300.SZ,601628.SH,20241202,0.3495
399300.SZ,000625.SZ,20241202,0.349
399300.SZ,002027.SZ,20241202,0.3483
399300.SZ,300033.SZ,20241202,0.347
399300.SZ,600436.SH,20241202,0.3464
399300.SZ,300015.SZ,20241202,0.3411
399300.SZ,688111.SH,20241202,0.336
399300.SZ,600089.SH,20241202,0.3327
399300.SZ,601390.SH,20241202,0.33
399300.SZ,601818.SH,20241202,0.3298
